City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,port blair,11.6667,92.75,91.44,66,20,8.05,IN,1715224424
109,fuglafjordur,62.244,-6.814,41.47,79,100,13.87,FO,1715224424
110,mar del plata,-38.0023,-57.5575,50.09,72,71,8.01,AR,1715224211
111,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,67,75,26.84,RU,1715224424
112,laguna,38.421,-121.4238,75.38,20,0,16.11,US,1715224425
113,dryden,49.7833,-92.7503,48.09,55,4,6.2,CA,1715224266
114,as samawah,31.332,45.2944,74.28,28,0,4.25,IQ,1715224425
115,semporna,4.4818,118.6112,87.8,64,39,4.03,MY,1715224355
116,avarua,-21.2078,-159.775,82.45,89,40,10.36,CK,1715224425
117,iskateley,67.6803,53.1512,23.02,88,100,15.99,RU,1715224425
118,yigo village,13.5361,144.8886,86.74,77,100,16.11,GU,1715224425
119,mogadishu,2.0371,45.3438,79.39,87,55,11.65,SO,1715224219
120,semdinli,37.3051,44.5742,41.04,74,0,4.68,TR,1715224426
121,corinto,37.9407,22.9573,62.24,87,100,2.1,GR,1715224426
122,paradip garh,20.3167,86.6167,88.14,63,2,10.49,IN,1715224426
123,papatowai,-46.5619,169.4708,47.25,57,25,9.46,NZ,1715224426
124,novofedorivka,46.1713,32.3178,49.73,57,99,12.37,UA,1715224426
125,ilinge,-31.9768,27.0427,49.75,88,15,2.59,ZA,1715224426
126,west end,26.6833,-78.9667,75.18,75,2,14.25,BS,1715224426
127,lagunillas,10.1301,-71.2595,81.52,87,71,8.05,VE,1715224426
128,klyuchi,52.2667,79.1667,64.92,45,30,10.65,RU,1715224427
129,sabang,5.8933,95.3214,84.24,74,53,5.84,ID,1715224427
130,ilulissat,69.2167,-51.1,24.82,74,100,4.61,GL,1715224427
131,novyy urengoy,66.0833,76.6333,17.08,94,93,6.8,RU,1715224427
132,naze,28.3667,129.4833,66.61,56,4,16.75,JP,1715224267
133,pacific grove,36.6177,-121.9166,66.2,64,0,3.0,US,1715224427
134,enewetak,11.3474,162.3373,81.77,74,46,18.45,MH,1715224427
135,nemuro,43.3236,145.575,38.5,75,65,8.88,JP,1715224427
136,cockburn town,21.4612,-71.1419,77.34,72,61,16.13,TC,1715224428
137,badger,64.8,-147.5333,57.45,37,75,10.36,US,1715224428
138,carutapera,-1.195,-46.02,77.16,92,93,3.4,BR,1715224428
139,cabo san lucas,22.8909,-109.9124,79.9,46,20,6.91,MX,1715224428
140,kapuskasing,49.4169,-82.4331,41.9,71,83,7.25,CA,1715224428
141,umba,66.6871,34.3429,23.45,87,14,10.78,RU,1715224428
142,okhotsk,59.3833,143.3,35.17,78,100,6.89,RU,1715224428
143,yuzhno-kurilsk,44.0306,145.8556,37.38,95,95,9.24,RU,1715224428
144,labrador city,52.9463,-66.9114,31.17,62,14,0.96,CA,1715224278
145,pasni,25.2631,63.471,81.81,76,0,7.23,PK,1715224429
146,chegdomyn,51.1167,133.0167,46.11,38,100,14.63,RU,1715224429
147,smithers,54.7804,-127.1743,48.78,65,79,5.73,CA,1715224429
148,nar'yan-mar,67.6713,53.087,23.11,88,100,15.99,RU,1715224429
149,burutu,5.3509,5.5076,80.74,87,100,4.25,NG,1715224429
